Category,URL,Name,Store Name,Price,,,,,,,,https://slickdeals.net/deal-categories/
Babies & Kids,https://slickdeals.nethttps://e-10293.adzerk.net/r?e=eyJ2IjoiMS4zIiwiYXYiOjUxODk4MCwiYXQiOjE2MiwiYnQiOjQ4LCJjbSI6MTUwNTk1MiwiY3QiOiJiYWJpZXMgJiBraWRzIiwiY2giOjM5MjkzLCJjayI6e30sImNyIjoxNjkyODYyMCwiZGkiOiIwOTc0ZDIxMWU3Nzg0N2RjOWJkNzNhZjk2ZWY1YzY2YyIsImRqIjowLCJpaSI6Ijg2NTUzODQ1YjMxNzRlZTk4MjUzYTI2ZTk2OTBlM2NmIiwiZG0iOjMsImZjIjoxOTYwMjgwMSwiZmwiOjExNDAzNjY0LCJpcCI6IjI3LjE0Ny4xOTEuMyIsImt3IjoiY2F0IGNoaWxkcmVuIiwibWsiOiJjYXQgY2hpbGRyZW4iLCJudyI6MTAyOTMsInBjIjoxMDAwLCJlYyI6MCwicHIiOjE1NzQxMSwicnQiOjEsInJzIjo1MDAsInNhIjoiMTgiLCJzYiI6ImktMGY5MDFhZWMxZGU3YjNhMWQiLCJzcCI6MTQ5OTksInN0IjoxMDg4OTI5LCJ0ciI6dHJ1ZSwidWsiOiI3MmRiNDcwYTg1OGYxMWVhYTI1MzQyNjdlODAzZjMxNSIsInRzIjoxNTg3NjY2MTgzMzc0LCJwbiI6ImNhdGVnb3J5RGVhbHMiLCJnYyI6dHJ1ZSwiZ3MiOiJub25lIiwidXIiOiJodHRwczovL3NsaWNrZGVhbHMubmV0L3BhaWRQbGFjZW1lbnRzLnBocD90aHJlYWRpZD0xNDAwMjQwMyZzcmM9ZmEtJWNvbnZlcnNpb25pZCUifQ&s=4qdqxLJk_ODfUXQhzIqgX3NqCG4,ShopDisney: Get $20 Off $100+,shopDisney,,,,,,,,,
Babies & Kids,https://slickdeals.net/f/13994600-klutz-lego-gadgets-book-kit-15?src=featured-cat,Klutz Lego Gadgets Book Kit,Amazon,$15 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/13997063-digital-hd-films-lord-of-the-rings-animated-iron-giant-superman-ii-more-5-each?src=featured-cat,"Digital HD Films: Lord of the Rings (Animated), Iron Giant, Superman II & More",Amazon,$5 each,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14002694-size-4-pampers-swaddlers-diapers-300-total-diapers-20-walmart-giftcard-15-prepaid-gc-77-58?src=catpagev2,Size 4 Pampers Swaddlers Diapers- 300 Total Diapers + $20 Walmart giftcard + $15 Prepaid GC $77.58,Walmart,$77.58 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14001920-a-little-golden-book-disney-s-frozen-2-book-2-03-mighty-pup-power-paw-patrol-book-2-49-more-fs-on-35?src=catpagev2,"A Little Golden Book Disney's Frozen 2 Book $2.03, Mighty Pup Power! PAW Patrol Book $2.49 & More + FS on $35+",Walmart,$2.02 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14001455-disney-frozen-2-elsa-s-enchanted-ice-vanity-28-free-store-pickup-at-target?src=catpagev2,Disney Frozen 2 Elsa's Enchanted Ice Vanity,Target,$28 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14002064-free-10-target-gift-card-with-purchase-of-50-baby-essentials-for-target-circle-members-ymmv?src=catpagev2,Free $10 Target Gift Card With Purchase Of $50 Baby Essentials For Target Circle Members YMMV,Target,,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14001317-playmobil-playsets-family-beach-day-17-royal-horse-stable-13-more-free-s-h-35?src=catpagev2,"Playmobil Playsets: Family Beach Day $17, Royal Horse Stable",Walmart,$13 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14002403-shopdisney-get-20-off-100?src=catpagev2,ShopDisney: Get $20 Off $100+,shopDisney,,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14000663-mega-bloks-ride-n-chomp-croc-w-25-building-blocks-22-99-free-shipping-on-35?src=catpagev2,Mega Bloks Ride 'n Chomp Croc w/ 25 Building Blocks,Target,$23 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14001461-philips-avent-fast-flow-nipple-4pk-scf424-47-4-pack-4-79?src=catpagev2,"Philips Avent Fast Flow Nipple, 4pk, SCF424/47 [4 pack] $4.79",Amazon,$4.79 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/14000510-eddie-bauer-girls-rock-creek-reversible-jacket-various-19-99-girls-graphic-long-sleeve-t-shirt-various-from-3-99-free-shipping?src=catpagev2,"Eddie Bauer Girls' Rock Creek Reversible Jacket (various) $19.99, Girls' Graphic Long Sleeve T-Shirt (various) From $3.99 + Free Shipping",Eddie Bauer,$19.99 ,,,,,,,,
Babies & Kids,https://slickdeals.net/f/13998353-the-children-s-place-up-to-80-off-girls-print-racerback-dress-from-3-39-girls-holographic-glitter-unicorn-bag-7-98-more-free-s-h?src=catpagev2,The Children's Place Up to 80% Off Sale: Girls' Print Racerback Dress (various),The Children's Place,from $3.40,,,,,,,,
